Date,Adj_Close,Adj_Volume
13/11/2000,100.1659228,17285300
14/11/2000,102.7982223,7668900
15/11/2000,103.1214871,8837700
16/11/2000,101.5051629,6684100
17/11/2000,100.9625168,6551100
20/11/2000,99.51939308,5458500
21/11/2000,100.0273807,7684300
22/11/2000,97.63750694,5736900
24/11/2000,99.63481083,3411600
27/11/2000,100.512244,5992000
28/11/2000,98.780502,5336100
29/11/2000,98.59577923,6914100
30/11/2000,97.74140242,11201600
01/12/2000,97.69522173,7587200
04/12/2000,98.5264742,6996600
05/12/2000,101.7591227,8883400
06/12/2000,100.1312644,12888000
07/12/2000,98.75737766,6529100
08/12/2000,98.98828113,10276300
11/12/2000,102.4287767,6405600
12/12/2000,101.9900262,5022900
13/12/2000,100.5930713,6070500
14/12/2000,99.31154598,7678400
15/12/2000,97.07529211,9065300
18/12/2000,98.37240932,7235400
19/12/2000,96.3688376,9616600
20/12/2000,93.57774227,9994300
21/12/2000,94.22630088,14331500
22/12/2000,97.05216339,10182900
26/12/2000,98.09445564,4665300
27/12/2000,98.81253676,4854100
28/12/2000,99.11361916,8358700
29/12/2000,97.23746585,8774600
02/01/2001,95.47709248,8737500
03/01/2001,100.0633284,19431600
04/01/2001,98.98620149,9219000
05/01/2001,95.75504617,12911400
08/01/2001,96.49625601,6625300
09/01/2001,96.24143104,5702400
10/01/2001,97.93235008,8746100
11/01/2001,98.02500131,7245100
12/01/2001,97.83969885,7244000
16/01/2001,98.46506055,8542200
17/01/2001,98.91674642,7851400
18/01/2001,99.90115462,8107000
19/01/2001,99.33367695,7782500
22/01/2001,99.99380585,7050900
23/01/2001,100.7813413,8463100
24/01/2001,101.0824919,6199900
25/01/2001,100.8276669,10818300
26/01/2001,100.711887,7136800
29/01/2001,101.2492686,6705900
30/01/2001,102.1387181,7069100
31/01/2001,101.5605752,9706900
01/02/2001,102.235068,8239100
02/02/2001,99.91508862,8276600
05/02/2001,100.648879,4352900
06/02/2001,100.3523995,7106700
07/02/2001,99.8335548,5748700
08/02/2001,98.66985016,5943300
09/02/2001,97.72110231,9913000
12/02/2001,98.84033658,5804400
13/02/2001,98.0324097,6587600
