,PLAYER,TEAM,DIV,CONF,RANK,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,AVG PTS,AVG REB,AVG AST,AVG STL,AVG BLK,AVG PF
170,Malik Monk,CHA,Southeast,East,22,22,55,18,37,1169,564,212,488,43.4,58,204,28.4,82,100,82.0,27,130,157,114,77,25,16,74,969.4,1,0,-231,10.254545454545454,2.8545454545454545,2.0727272727272728,0.45454545454545453,0.2909090909090909,1.3454545454545455
171,Markieff Morris,LAL,Pacific,West,3,30,58,22,36,1188,560,203,458,44.3,88,228,38.6,66,85,77.6,40,178,218,77,76,31,17,133,1005.1,1,0,-126,9.655172413793103,3.7586206896551726,1.3275862068965518,0.5344827586206896,0.29310344827586204,2.293103448275862
172,George Hill,MIL,Central,East,1,34,59,47,12,1271,554,194,376,51.6,81,176,46.0,85,101,84.2,50,127,177,180,57,47,5,84,1135.4,0,0,300,9.389830508474576,3.0,3.0508474576271185,0.7966101694915254,0.0847457627118644,1.423728813559322
173,Kelly Olynyk,MIA,Southeast,East,11,29,67,41,26,1300,549,184,398,46.2,95,234,40.6,86,100,86.0,44,261,305,116,71,45,23,173,1222.0,3,0,60,8.194029850746269,4.552238805970149,1.7313432835820894,0.6716417910447762,0.34328358208955223,2.582089552238806
174,Kyrie Irving,BKN,Atlantic,East,14,28,20,8,12,658,548,199,416,47.8,56,142,39.4,94,102,92.2,22,81,103,128,52,27,10,53,922.6,3,1,-7,27.4,5.15,6.4,1.35,0.5,2.65
175,Marquese Chriss,GSW,Pacific,West,30,22,59,15,44,1196,548,210,385,54.5,8,39,20.5,120,156,76.9,114,251,365,114,78,39,62,122,1382.0,9,0,-227,9.288135593220339,6.186440677966102,1.9322033898305084,0.6610169491525424,1.0508474576271187,2.0677966101694913
176,Danny Green,LAL,Pacific,West,3,33,68,51,17,1687,547,197,474,41.6,120,327,36.7,33,48,68.8,51,174,225,91,63,85,32,136,1241.5,0,0,256,8.044117647058824,3.3088235294117645,1.338235294117647,1.25,0.47058823529411764,2.0
177,Clint Capela,ATL,Southeast,East,27,26,39,22,17,1279,543,244,388,62.9,0,0,0.0,55,104,52.9,168,369,537,48,63,33,72,102,1511.4,27,0,60,13.923076923076923,13.76923076923077,1.2307692307692308,0.8461538461538461,1.8461538461538463,2.6153846153846154
178,Terence Davis,TOR,Atlantic,East,2,23,72,53,19,1209,543,199,436,45.6,94,242,38.8,51,59,86.4,50,187,237,115,76,39,14,124,1082.9,1,0,200,7.541666666666667,3.2916666666666665,1.5972222222222223,0.5416666666666666,0.19444444444444445,1.7222222222222223
179,Gary Trent Jr.,POR,Northwest,West,15,21,61,29,32,1332,541,196,441,44.4,112,268,41.8,37,45,82.2,25,75,100,61,21,48,16,90,923.5,0,0,-53,8.868852459016393,1.639344262295082,1.0,0.7868852459016393,0.26229508196721313,1.4754098360655739
180,Zion Williamson,NOP,Southwest,West,21,19,24,11,13,668,540,210,360,58.3,6,14,42.9,114,178,64.0,64,86,150,50,59,16,9,42,811.0,2,0,62,22.5,6.25,2.0833333333333335,0.6666666666666666,0.375,1.75
181,Richaun Holmes,SAC,Pacific,West,20,26,44,16,28,1242,539,223,344,64.8,0,0,0.0,93,118,78.8,127,231,358,42,52,41,56,169,1270.6,13,0,16,12.25,8.136363636363637,0.9545454545454546,0.9318181818181818,1.2727272727272727,3.840909090909091
182,Josh Okogie,MIN,Northwest,West,28,21,62,19,43,1547,533,170,398,42.7,41,154,26.6,152,191,79.6,87,181,268,99,87,68,26,139,1198.1,0,0,-160,8.596774193548388,4.32258064516129,1.596774193548387,1.096774193548387,0.41935483870967744,2.2419354838709675
